lat,lon,dR,nsv_h
47.975153999999996,16.508409,0.48100000000000004,481.00000000000006
47.975066,16.50791,0.21,210.0
47.974959000000005,16.507938,0.192,192.0
47.974959999999996,16.507932999999998,0.17800000000000002,178.00000000000003
47.975136,16.508423,0.172,172.0
47.975163,16.508408,0.12,120.0
47.975125,16.508426999999998,0.11599999999999999,115.99999999999999
47.974955,16.507948000000003,0.106,106.0
47.975114000000005,16.508418,0.1,100.0
47.974722,16.510869,0.09300000000000001,93.00000000000001
47.975066,16.50791,0.091,91.0
47.975177,16.508267,0.087,87.0
47.97495,16.507960999999998,0.087,87.0
47.975054,16.507994,0.086,86.0
47.975023,16.508492999999998,0.085,85.0
47.975025,16.508492,0.084,84.0
47.975025,16.508495,0.084,84.0
47.975021999999996,16.508496,0.084,84.0
47.975024,16.508492999999998,0.083,83.0
47.975032,16.507888,0.08199999999999999,81.99999999999999
47.974755,16.510865,0.08199999999999999,81.99999999999999
47.975018,16.508502,0.08199999999999999,81.99999999999999
47.975086,16.507938,0.081,81.0
47.975021000000005,16.508492999999998,0.08,80.0
47.975025,16.508492,0.08,80.0
47.974705,16.510844,0.08,80.0
47.975114000000005,16.508398,0.079,79.0
47.975016,16.507896,0.078,78.0
47.97498,16.507912,0.077,77.0
47.974773,16.510875,0.077,77.0
47.975018,16.508492,0.077,77.0
47.974971000000004,16.507919,0.075,75.0
47.975102,16.50838,0.075,75.0
47.975016,16.508487,0.07200000000000001,72.00000000000001
47.975081,16.508357,0.071,71.0
47.975001,16.508454,0.07,70.0
47.975066,16.508335,0.066,66.0
47.974706,16.510849,0.066,66.0
47.975153999999996,16.508046,0.065,65.0
47.974722,16.510869,0.064,64.0
47.975142,16.508049,0.064,64.0
47.975156,16.508065,0.063,63.0
47.975162,16.508053,0.063,63.0
47.974928000000006,16.508556,0.063,63.0
47.975064,16.507997,0.063,63.0
47.975175,16.508287,0.062,62.0
47.975181,16.508084,0.062,62.0
47.975128999999995,16.508013000000002,0.062,62.0
47.975134000000004,16.508025,0.062,62.0
47.975147,16.508048000000002,0.062,62.0
47.974706,16.510839999999998,0.061,61.0
47.975159999999995,16.509902,0.06,60.0
47.974879,16.508507,0.06,60.0
47.97518,16.509925,0.06,60.0
47.974905,16.508526,0.059000000000000004,59.00000000000001
47.975181,16.508088,0.059000000000000004,59.00000000000001
47.975221999999995,16.509954,0.059000000000000004,59.00000000000001
47.975069,16.508001999999998,0.059000000000000004,59.00000000000001
47.975122,16.508044,0.059000000000000004,59.00000000000001
47.975111,16.508025,0.059000000000000004,59.00000000000001
47.975103999999995,16.508012,0.059000000000000004,59.00000000000001
47.975188,16.508441,0.057999999999999996,57.99999999999999
47.975173999999996,16.508092,0.057999999999999996,57.99999999999999
47.975172,16.508098999999998,0.057999999999999996,57.99999999999999
47.975173,16.508108,0.057999999999999996,57.99999999999999
47.97501,16.508516,0.057999999999999996,57.99999999999999
47.975102,16.508008,0.057999999999999996,57.99999999999999
47.975105,16.508021,0.057999999999999996,57.99999999999999
47.975101,16.508018,0.057999999999999996,57.99999999999999
47.975096,16.508038,0.057999999999999996,57.99999999999999
47.974866,16.50849,0.057999999999999996,57.99999999999999
47.975094,16.508038,0.057999999999999996,57.99999999999999
47.975011,16.51071,0.057999999999999996,57.99999999999999
47.974528,16.510469,0.057,57.0
47.974856,16.508477,0.057,57.0
47.975092,16.508032999999998,0.057,57.0
47.97509,16.508023,0.057,57.0
47.975087,16.508018,0.057,57.0
47.975079,16.508005999999998,0.057,57.0
47.975165999999994,16.508332,0.057,57.0
47.974610999999996,16.510392,0.057,57.0
47.974579,16.510419,0.057,57.0
47.975204,16.50843,0.057,57.0
47.974564,16.510437,0.057,57.0
47.975173,16.508419,0.057,57.0
47.975215999999996,16.508202999999998,0.057,57.0
47.974742,16.510348,0.057,57.0
47.974641,16.510361,0.057,57.0
47.975232,16.508315,0.057,57.0
47.975226,16.508244,0.057,57.0
47.974765999999995,16.510385999999997,0.057,57.0
47.975193,16.508148000000002,0.057,57.0
47.975173999999996,16.5081,0.057,57.0
47.974838,16.508453,0.055999999999999994,55.99999999999999
47.974990999999996,16.510665,0.055999999999999994,55.99999999999999
47.97508,16.508014000000003,0.055999999999999994,55.99999999999999
47.974903999999995,16.510555,0.055999999999999994,55.99999999999999
47.974874,16.510507,0.055999999999999994,55.99999999999999
47.975091,16.508032,0.055999999999999994,55.99999999999999
