lat,lon,dR,nsv_h
47.975103000000004,16.508944,0.2,200.0
47.975183,16.508604000000002,0.081,81.0
47.974977,16.508942,0.078,78.0
47.974492,16.508573000000002,0.073,73.0
47.97446,16.508603,0.07,70.0
47.975302,16.508651999999998,0.069,69.0
47.975246000000006,16.508544,0.068,68.0
47.974432,16.508604000000002,0.067,67.0
47.975209,16.508575,0.067,67.0
47.97439,16.508526999999997,0.067,67.0
47.975004999999996,16.508922000000002,0.066,66.0
47.974413,16.508566000000002,0.065,65.0
47.974385,16.508514,0.065,65.0
47.974384,16.508454,0.064,64.0
47.975152,16.508032,0.063,63.0
47.975274,16.508523,0.063,63.0
47.974509999999995,16.508563,0.062,62.0
47.975162,16.508627,0.062,62.0
47.975297999999995,16.508514,0.062,62.0
47.975313,16.508551,0.062,62.0
47.974399,16.50843,0.062,62.0
47.975318,16.508620999999998,0.062,62.0
47.975012,16.508912,0.062,62.0
47.974552,16.508531,0.061,61.0
47.974889000000005,16.50921,0.061,61.0
47.975103000000004,16.508703,0.06,60.0
47.974436,16.50838,0.06,60.0
47.975092,16.508712,0.06,60.0
47.975325,16.508642000000002,0.059000000000000004,59.00000000000001
47.975064,16.508874,0.059000000000000004,59.00000000000001
47.974743,16.508553,0.059000000000000004,59.00000000000001
47.975066999999996,16.50874,0.059000000000000004,59.00000000000001
47.974792,16.509261,0.057999999999999996,57.99999999999999
47.975139,16.508658999999998,0.057999999999999996,57.99999999999999
47.975134000000004,16.508666,0.057999999999999996,57.99999999999999
47.97486,16.507868,0.057999999999999996,57.99999999999999
47.974556,16.508781,0.057999999999999996,57.99999999999999
47.974453999999994,16.508366,0.057999999999999996,57.99999999999999
47.974887,16.507848000000003,0.057999999999999996,57.99999999999999
47.975041999999995,16.508746,0.057999999999999996,57.99999999999999
47.975001,16.508789,0.057999999999999996,57.99999999999999
47.974821999999996,16.507892000000002,0.057999999999999996,57.99999999999999
47.974801,16.507908,0.057999999999999996,57.99999999999999
47.974756,16.507954,0.057999999999999996,57.99999999999999
47.974738,16.50797,0.057999999999999996,57.99999999999999
47.974911999999996,16.507825,0.057999999999999996,57.99999999999999
47.974928000000006,16.507803,0.057999999999999996,57.99999999999999
47.974981,16.508809,0.057999999999999996,57.99999999999999
47.974587,16.508744,0.057,57.0
47.975074,16.508869,0.057,57.0
47.9748,16.509272,0.057,57.0
47.974638,16.508681,0.057,57.0
47.974543,16.508857,0.057,57.0
47.97453,16.50881,0.057,57.0
47.974578,16.50875,0.057,57.0
47.974724,16.508489,0.057,57.0
47.974963,16.508820999999998,0.057,57.0
47.975018,16.508764000000003,0.057,57.0
47.974649,16.508112,0.057,57.0
47.974668,16.508059,0.057,57.0
47.974688,16.50804,0.057,57.0
47.974717,16.507989000000002,0.057,57.0
47.974954,16.507821,0.057,57.0
47.974959000000005,16.507827,0.057,57.0
47.974488,16.508325,0.057,57.0
47.974751,16.509179999999997,0.055999999999999994,55.99999999999999
47.97473,16.509076,0.055999999999999994,55.99999999999999
47.974801,16.508848,0.055999999999999994,55.99999999999999
47.974737,16.508936,0.055999999999999994,55.99999999999999
47.974682,16.509004,0.055999999999999994,55.99999999999999
47.974661,16.509026000000002,0.055999999999999994,55.99999999999999
47.974677,16.509137,0.055999999999999994,55.99999999999999
47.974694,16.509119000000002,0.055999999999999994,55.99999999999999
47.974911,16.508881,0.055999999999999994,55.99999999999999
47.974736,16.50907,0.055999999999999994,55.99999999999999
47.97475,16.509058,0.055999999999999994,55.99999999999999
47.974781,16.509035,0.055999999999999994,55.99999999999999
47.9748,16.509007999999998,0.055999999999999994,55.99999999999999
47.97493,16.508860000000002,0.055999999999999994,55.99999999999999
47.974940999999994,16.508845,0.055999999999999994,55.99999999999999
47.974821,16.508733,0.055999999999999994,55.99999999999999
47.974947,16.508965,0.055999999999999994,55.99999999999999
47.974835999999996,16.508804,0.055999999999999994,55.99999999999999
47.974631,16.508145000000003,0.055999999999999994,55.99999999999999
47.974723,16.508585999999998,0.055999999999999994,55.99999999999999
47.974625,16.508698000000003,0.055999999999999994,55.99999999999999
47.974837,16.508774,0.055999999999999994,55.99999999999999
47.974739,16.508564,0.055999999999999994,55.99999999999999
47.974515999999994,16.508295999999998,0.055999999999999994,55.99999999999999
47.974542,16.50826,0.055999999999999994,55.99999999999999
47.974592,16.508213,0.055999999999999994,55.99999999999999
47.974616999999995,16.508183,0.055999999999999994,55.99999999999999
47.974667,16.508646,0.055999999999999994,55.99999999999999
47.974762,16.509199,0.055999999999999994,55.99999999999999
47.975276,16.508313,0.055999999999999994,55.99999999999999
47.974862,16.508937,0.055,55.0
47.974841999999995,16.508951999999997,0.055,55.0
47.974641999999996,16.509092000000003,0.055,55.0
47.974567,16.508237,0.055,55.0
47.974639,16.509065,0.055,55.0
47.974788000000004,16.509114999999998,0.055,55.0
47.97464,16.508447,0.055,55.0
47.974716,16.508967000000002,0.055,55.0
47.974746,16.508925,0.055,55.0
47.974787,16.508872,0.055,55.0
47.974762,16.509141,0.055,55.0
47.974584,16.508501000000003,0.055,55.0
47.974695000000004,16.508618,0.055,55.0
47.975111,16.508838,0.055,55.0
47.974908,16.50899,0.055,55.0
47.974812,16.508717,0.055,55.0
47.974608,16.508910999999998,0.055,55.0
47.974581,16.508944,0.055,55.0
47.974565999999996,16.508912,0.055,55.0
47.974794,16.508699,0.055,55.0
47.974627000000005,16.508889,0.054000000000000006,54.00000000000001
47.974561,16.508523999999998,0.054000000000000006,54.00000000000001
47.974821,16.509086,0.054000000000000006,54.00000000000001
